,Unnamed: 0,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
81,81,CHEMBL3452088,CCn1cc(NC(=O)NCCN2CCCCCC2=O)cn1,inactive,293.3709999999999,1.4270999999999994,2.0,4.0,4.0
82,82,CHEMBL3452088,CCn1cc(NC(=O)NCCN2CCCCCC2=O)cn1,inactive,293.3709999999999,1.4270999999999994,2.0,4.0,4.0
83,83,CHEMBL3452104,CC(C)(C)NC(=O)CNc1ncccn1,inactive,208.26500000000001,0.8031999999999994,2.0,4.0,4.0
84,84,CHEMBL3452104,CC(C)(C)NC(=O)CNc1ncccn1,inactive,208.26500000000001,0.8031999999999994,2.0,4.0,4.0
85,85,CHEMBL3455815,CCCS(=O)(=O)N1CCN(CCCO)CC1,inactive,250.36399999999992,-0.2737999999999994,1.0,4.0,4.0
86,86,CHEMBL3455815,CCCS(=O)(=O)N1CCN(CCCO)CC1,inactive,250.36399999999992,-0.2737999999999994,1.0,4.0,4.0
87,87,CHEMBL3436647,CN(C)c1nc2sc(C(=O)N3CCN(C(=O)OC(C)(C)C)CC3)cc2s1,inactive,396.5380000000002,3.1167000000000016,0.0,7.0,4.0
88,88,CHEMBL3436647,CN(C)c1nc2sc(C(=O)N3CCN(C(=O)OC(C)(C)C)CC3)cc2s1,inactive,396.5380000000002,3.1167000000000016,0.0,7.0,4.0
89,89,CHEMBL1495961,Cc1ccc(NC(=O)c2cc(S(=O)(=O)N3CCCCC3)c[nH]2)cc1F,inactive,365.4300000000001,2.889120000000001,2.0,3.0,4.0
90,90,CHEMBL1495961,Cc1ccc(NC(=O)c2cc(S(=O)(=O)N3CCCCC3)c[nH]2)cc1F,inactive,365.4300000000001,2.889120000000001,2.0,3.0,4.0
91,91,CHEMBL3455875,CC(C)COc1cncc(N2CCCN(c3ncccn3)CC2)n1,inactive,328.4200000000001,2.0180999999999996,0.0,7.0,4.0
92,92,CHEMBL3455875,CC(C)COc1cncc(N2CCCN(c3ncccn3)CC2)n1,inactive,328.4200000000001,2.0180999999999996,0.0,7.0,4.0
93,93,CHEMBL3444103,CCn1nc(C)c2ccn(CC(=O)NC3CCCC3)c(=O)c21,inactive,302.37800000000004,1.5851199999999992,1.0,5.0,4.0
94,94,CHEMBL3444103,CCn1nc(C)c2ccn(CC(=O)NC3CCCC3)c(=O)c21,inactive,302.37800000000004,1.5851199999999992,1.0,5.0,4.0
95,95,CHEMBL3455995,O=C1CN(C(=O)c2cc3ccc(Br)cc3[nH]2)CCN1,inactive,322.16200000000003,1.5024,2.0,2.0,4.0
96,96,CHEMBL3455995,O=C1CN(C(=O)c2cc3ccc(Br)cc3[nH]2)CCN1,inactive,322.16200000000003,1.5024,2.0,2.0,4.0
97,97,CHEMBL3469992,Cc1nn(C)c(N2CCOCC2)c1CNC(C)c1ccco1,inactive,304.394,2.00892,1.0,6.0,4.0
98,98,CHEMBL3469992,Cc1nn(C)c(N2CCOCC2)c1CNC(C)c1ccco1,inactive,304.394,2.00892,1.0,6.0,4.0
99,99,CHEMBL3470010,CC(CN1CCN(C)CC1)NC(=O)c1cc(Cl)c2c(c1)OCO2,inactive,339.82300000000015,1.4344,1.0,5.0,4.0
100,100,CHEMBL3470010,CC(CN1CCN(C)CC1)NC(=O)c1cc(Cl)c2c(c1)OCO2,inactive,339.82300000000015,1.4344,1.0,5.0,4.0
101,101,CHEMBL3470011,CCc1nnc2n1CCN(C(=O)c1ccc3nc(C)c(C)nc3c1)C2,inactive,336.3990000000001,2.05654,0.0,6.0,4.0
102,102,CHEMBL3470011,CCc1nnc2n1CCN(C(=O)c1ccc3nc(C)c(C)nc3c1)C2,inactive,336.3990000000001,2.05654,0.0,6.0,4.0
103,103,CHEMBL3446332,CCNC(=O)c1nnc2ccc(N3CCOCC3)cc2n1,inactive,287.323,0.6110999999999995,1.0,6.0,4.0
